sigma,gain,specification,moment,mean,monte_carlo_se,mean_ci_low,mean_ci_high,paired_difference_from_re,paired_ci_low,paired_ci_high,paired_draws,rms_path_distance_from_re
1,0.002,RE,sigma_y,1.07096398372715,0.00163339309706199,1.06776253325691,1.07416543419739,0,0,0,5000,0
1,0.002,RE,sigma_c_over_y,0.536425847100945,0.000150752630577418,0.536130371945014,0.536721322256877,0,0,0,5000,0
1,0.002,RE,sigma_i_over_y,2.42610757482661,0.00027385176023008,2.42557082537656,2.42664432427666,0,0,0,5000,0
1,0.002,RE,sigma_h_over_y,0.493770492089393,7.8729361425501e-05,0.493616182540999,0.493924801637787,0,0,0,5000,0
1,0.002,RE,rho_dc,0.0820993733284764,0.0012358622885374,0.0796770832429431,0.0845216634140097,0,0,0,5000,0
1,0.002,RE,rho_dy,-0.00347036958482651,0.00109146555756583,-0.00560964207765555,-0.00133109709199748,0,0,0,5000,0
1,0.002,RE,rho_di,-0.0295136007260639,0.00107121894745241,-0.0316131898630706,-0.0274140115890572,0,0,0,5000,0
1,0.002,RE,rho_wage_fe,-0.00494976161140763,0.00109227855973992,-0.00709062758849788,-0.00280889563431738,0,0,0,5000,0
1,0.002,archive,sigma_y,1.07087932833956,0.00163407169871951,1.06767654781007,1.07408210886905,-8.46553875936968e-05,-0.000107833364365289,-6.14584159564469e-05,5000,0.0033419174763101
1,0.002,archive,sigma_c_over_y,0.536463590412436,0.000149427474040105,0.536170712563317,0.536756468261554,3.7743311490634e-05,2.00659366171195e-05,5.64148844034294e-05,5000,0.0033419174763101
1,0.002,archive,sigma_i_over_y,2.4258305130562,0.000271728896156649,2.42529792441973,2.42636310169266,-0.000277061770417346,-0.000339956915880705,-0.00021203518107266,5000,0.0033419174763101
1,0.002,archive,sigma_h_over_y,0.493661693768899,7.84274816591698e-05,0.493507975904847,0.493815411632951,-0.00010879832049396,-0.000131163782408351,-8.55191406559066e-05,5000,0.0033419174763101
1,0.002,archive,rho_dc,0.0817828050278775,0.0012366033587248,0.0793590624447769,0.0842065476109781,-0.000316568300598922,-0.000326035695983967,-0.000306656453889191,5000,0.0033419174763101
1,0.002,archive,rho_dy,-0.00322732309430043,0.00109160578623497,-0.00536687043532098,-0.00108777575327988,0.00024304649052609,0.0002407895341489,0.000245488301014141,5000,0.0033419174763101
1,0.002,archive,rho_di,-0.0289880989831605,0.00107146438235906,-0.0310881691725842,-0.0268880287937367,0.000525501742903425,0.000520968560572329,0.000530029965509078,5000,0.0033419174763101
1,0.002,archive,rho_wage_fe,0.0014473073976552,0.0010891495201515,-0.00068742566184174,0.00358204045715213,0.00639706900906282,0.0061519833473902,0.00666927503130415,5000,0.0033419174763101
1,0.002,wage_proxy,sigma_y,1.07186330994613,0.0016995387146233,1.06853221406547,1.07519440582679,0.000899326218980468,0.000110473684437025,0.001722480104018,5000,0.121422327964398
1,0.002,wage_proxy,sigma_c_over_y,0.536190774551578,0.000356318351801468,0.535492390582047,0.536889158521109,-0.000235072549367153,-0.000881955108368205,0.000407561292329397,5000,0.121422327964398
1,0.002,wage_proxy,sigma_i_over_y,2.42612157136041,0.00116998096696384,2.42382840866516,2.42841473405566,1.39965337963734e-05,-0.0021979684766667,0.00218044191052508,5000,0.121422327964398
1,0.002,wage_proxy,sigma_h_over_y,0.493615491849507,0.000405309623429157,0.492821084987586,0.494409898711428,-0.000155000239886206,-0.000956805847396429,0.000646032627069896,5000,0.121422327964398
1,0.002,wage_proxy,rho_dc,0.0792397153489957,0.00126387030267878,0.0767625295557453,0.0817169011422461,-0.00285965797948074,-0.00321590828440471,-0.0025183460260982,5000,0.121422327964398
1,0.002,wage_proxy,rho_dy,-0.000284539516051931,0.00109300567168194,-0.00242683063254854,0.00185775160044468,0.00318583006877459,0.00312849320976802,0.00324256369438068,5000,0.121422327964398
1,0.002,wage_proxy,rho_di,-0.0223605292623856,0.00107464743995141,-0.0244668382446903,-0.0202542202800808,0.00715307146367832,0.00704897017060038,0.00725700595951604,5000,0.121422327964398
1,0.002,wage_proxy,rho_wage_fe,-0.00138438391709721,0.00109322717641937,-0.00352710918287916,0.00075834134868475,0.00356537769431042,0.00344040958749003,0.00368197669621645,5000,0.121422327964398
1,0.002,paper,sigma_y,1.0722961494011,0.00170026239516814,1.06896363510657,1.07562866369563,0.00133216567394943,0.00052009182533092,0.00217041701318836,5000,0.121577024755947
1,0.002,paper,sigma_c_over_y,0.535843070794568,0.000356354802560263,0.535144615381549,0.536541526207586,-0.00058277630637738,-0.00121557792703453,5.16481227239117e-05,5000,0.121577024755947
1,0.002,paper,sigma_i_over_y,2.42732937289727,0.00117027535728922,2.42503563319698,2.42962311259755,0.00122179807065679,-0.00095968458399166,0.00341091281286392,5000,0.121577024755947
