gain,moment,archive_mean,monte_carlo_se,published,difference,rounded_match
0.002,sigma_y,1.07097170912195,0.00160370276270551,1.31,-0.23902829087805,0
0.002,sigma_c_over_y,0.536661025335547,0.000148850702504843,0.54,-0.0033389746644531,1
0.002,sigma_i_over_y,2.42551707051356,0.000271843198139657,2.43,-0.00448292948644324,1
0.002,sigma_h_over_y,0.493581613769642,7.90677321896781e-05,0.49,0.00358161376964244,1
0.002,rho_dc,0.0794089041118449,0.00124292963506023,0.08,-0.000591095888155105,1
0.002,rho_dy,-0.00589909679913183,0.00110053732997453,-0.01,0.00410090320086817,1
0.002,rho_di,-0.0317413488212448,0.00108097627377177,-0.03,-0.00174134882124483,1
0.002,rho_wage_fe,-0.0016022649307622,0.00109829830941266,0,-0.0016022649307622,1
0.04,sigma_y,1.07206563832513,0.00164713008302008,1.31,-0.237934361674873,0
0.04,sigma_c_over_y,0.536125795362943,0.000134533441267055,0.54,-0.00387420463705668,1
0.04,sigma_i_over_y,2.4250363323672,0.00024844450457431,2.43,-0.00496366763280198,1
0.04,sigma_h_over_y,0.493219904568713,7.56658311666468e-05,0.49,0.00321990456871307,1
0.04,rho_dc,0.0762916316756307,0.00123832372258142,0.08,-0.00370836832436933,1
0.04,rho_dy,0.00151749298648003,0.00109859157133356,0,0.00151749298648003,1
0.04,rho_di,-0.0188692656448747,0.0010829443583655,-0.02,0.00113073435512532,1
0.04,rho_wage_fe,0.0920850360843362,0.000989540119838221,0.09,0.00208503608433622,1
